PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39450752","Microvascular Inflammation of Kidney Allografts and Clinical Outcomes","Sablik M, Sannier A, Raynaud M, Goutaudier V, Divard G, Astor BC, Weng P, Smith J, Garro R, Warady BA, Zahr RS, Twombley K, Dharnidharka VR, Dandamudi RS, Fila M, Huang E, Sellier-Leclerc AL, Tönshoff B, Rabant M, Verine J, Del Bello A, Berney T, Boyer O, Catar RA, Danger R, Giral M, Yoo D, Girardin FR, Alsadi A, Gourraud PA, Morelon E, Le Quintrec M, Try M, Villard J, Zhong W, Bestard O, Budde K, Chauveau B, Couzi L, Brouard S, Hogan J, Legendre C, Anglicheau D, Aubert O, Kamar N, Lefaucheur C, Loupy A.","N Engl J Med. 2025 Feb 20;392(8):763-776. doi: 10.1056/NEJMoa2408835. Epub 2024 Oct 24.","Sablik M","N Engl J Med","2025","2024/10/25","","","10.1056/NEJMoa2408835"
"40162648","Global Effect of Cardiovascular Risk Factors on Lifetime Estimates","Global Cardiovascular Risk Consortium; Magnussen C, Alegre-Diaz J, Al-Nasser LA, Amouyel P, Aviles-Santa L, Bakker SJL, Ballantyne CM, Bernabé-Ortiz A, Bobak M, Boffetta P, Brenner H, Brunström M, Can G, Carrillo-Larco RM, Checkley W, Dallongeville J, De Bacquer D, de Gaetano G, de Lemos JA, di Carluccio E, Dobson A, Donfrancesco C, Dörr M, d'Orsi E, Drygas W, Dullaart RPF, Engström G, Ferrario MM, Ferrières J, Figtree GA, Gaye B, Ghayour-Mobarhan M, Goldbourt U, Gonzalez C, Gossling A, Grassi G, Gupta PC, He J, Hodge AM, Hozawa A, Hveem K, Iacoviello L, Ikram MK, Inoue M, Irazola V, Jobe M, Jousilahti P, Kaleebu P, Kavousi M, Kee F, Khalili D, Klotsche J, Koenig W, Kontsevaya A, Kowlessur S, Kuri-Morales P, Kuulasmaa K, Kweon SS, Lackner KJ, Landmesser U, Leistner DM, Leiva Sisnieguez CE, Leong D, Lind L, Linneberg A, Lorenz T, Lyngbakken MN, Malekzadeh R, Malyutina S, Mathiesen EB, McElduff P, Melander O, Metspalu A, Miranda JJ, Moitry M, Mugisha J, Munzinger J, Nalini M, Nambi V, Nilsson PM, Ninomiya T, Omland T, Ong SK, Oppermann K, Pajak A, Palmieri L, Panagiotakos D, Park SK, Pednekar MS, Perianayagam A, Peters A, Poustchi H, Prabhakaran D, Prentice AM, Prescott E, Quyyumi A, Risérus U, Sakata S, Salazar M, et al.","N Engl J Med. 2025 Jul 10;393(2):125-138. doi: 10.1056/NEJMoa2415879. Epub 2025 Mar 30.","Global Cardiovascular Risk Consortium","N Engl J Med","2025","2025/03/31","","","10.1056/NEJMoa2415879"
"38477986","Next-Generation Multitarget Stool DNA Test for Colorectal Cancer Screening","Imperiale TF, Porter K, Zella J, Gagrat ZD, Olson MC, Statz S, Garces J, Lavin PT, Aguilar H, Brinberg D, Berkelhammer C, Kisiel JB, Limburg PJ; BLUE-C Study Investigators.","N Engl J Med. 2024 Mar 14;390(11):984-993. doi: 10.1056/NEJMoa2310336.","Imperiale TF","N Engl J Med","2024","2024/03/13","","","10.1056/NEJMoa2310336"
"40267425","Tumor-Infiltrating Clonal Hematopoiesis","Pich O, Bernard E, Zagorulya M, Rowan A, Pospori C, Slama R, Huerga Encabo H, O'Sullivan J, Papazoglou D, Anastasiou P, Iliakis CS, Clark SA, Dijkstra KK, Barbè V, Bailey C, Stonestrom AJ, Enfield KSS, Green M, Brierley CK, Magness A, Pearce DR, Hynds RE, Zaidi R, Rane JK, Álvarez-Prado ÁF, Thol K, Scott R, Bola SK, Hoxha E, Harris SK, Peggs KS, Quezada SA, Hackshaw A, Zaccaria S, Joyce JA, Malanchi I, Berger MF, Jamal-Hanjani M, Wack A, Downward J, Grey W, Lo Celso C, Grönroos E, Rudin CM, Mead AJ, Bonnet D, Papaemmanuil E, Swanton C.","N Engl J Med. 2025 Apr 24;392(16):1594-1608. doi: 10.1056/NEJMoa2413361.","Pich O","N Engl J Med","2025","2025/04/23","PMC12021423","NIHMS2050705","10.1056/NEJMoa2413361"
"41160818","Trastuzumab Deruxtecan plus Pertuzumab for HER2-Positive Metastatic Breast Cancer","Tolaney SM, Jiang Z, Zhang Q, Barroso-Sousa R, Park YH, Rimawi MF, Saura C, Schneeweiss A, Toi M, Chae YS, Kemal Y, Chaudhari M, Şendur MAN, Yamashita T, Casalnuovo M, Danso MA, Liu J, Shetty J, Herbolsheimer P, Loibl S; DESTINY-Breast09 Trial Investigators.","N Engl J Med. 2025 Oct 29. doi: 10.1056/NEJMoa2508668. Online ahead of print.","Tolaney SM","N Engl J Med","2025","2025/10/29","","","10.1056/NEJMoa2508668"
"39774314","Prenatal cfDNA Sequencing and Incidental Detection of Maternal Cancer","Turriff AE, Annunziata CM, Malayeri AA, Redd B, Pavelova M, Goldlust IS, Rajagopal PS, Lin J, Bianchi DW.","N Engl J Med. 2024 Dec 5;391(22):2123-2132. doi: 10.1056/NEJMoa2401029.","Turriff AE","N Engl J Med","2024","2025/01/08","PMC11711700","NIHMS2018280","10.1056/NEJMoa2401029"
"40214032","Assessment of a Polygenic Risk Score in Screening for Prostate Cancer","McHugh JK, Bancroft EK, Saunders E, Brook MN, McGrowder E, Wakerell S, James D, Rageevakumar R, Benton B, Taylor N, Myhill K, Hogben M, Kinsella N, Sohaib AA, Cahill D, Hazell S, Withey SJ, Mcaddy N, Page EC, Osborne A, Benafif S, Jones AB, Patel D, Huang DY, Kaur K, Russell B, Nicholson R, Croft F, Sobczak J, McNally C, Mutch F, Bennett S, Kingston L, Karlsson Q, Dadaev T, Saya S, Merson S, Wood A, Dennis N, Hussain N, Thwaites A, Hussain S, Rafi I, Ferris M, Kumar P, James ND, Pashayan N, Kote-Jarai Z, Eeles RA; BARCODE1 Steering Committee and Collaborators.","N Engl J Med. 2025 Apr 10;392(14):1406-1417. doi: 10.1056/NEJMoa2407934.","McHugh JK","N Engl J Med","2025","2025/04/11","PMC7617604","EMS202171","10.1056/NEJMoa2407934"
"39141852","Cognitive Motor Dissociation in Disorders of Consciousness","Bodien YG, Allanson J, Cardone P, Bonhomme A, Carmona J, Chatelle C, Chennu S, Conte M, Dehaene S, Finoia P, Heinonen G, Hersh JE, Kamau E, Lawrence PK, Lupson VC, Meydan A, Rohaut B, Sanders WR, Sitt JD, Soddu A, Valente M, Velazquez A, Voss HU, Vrosgou A, Claassen J, Edlow BL, Fins JJ, Gosseries O, Laureys S, Menon D, Naccache L, Owen AM, Pickard J, Stamatakis EA, Thibaut A, Victor JD, Giacino JT, Bagiella E, Schiff ND.","N Engl J Med. 2024 Aug 15;391(7):598-608. doi: 10.1056/NEJMoa2400645.","Bodien YG","N Engl J Med","2024","2024/08/14","PMC7617195","EMS197475","10.1056/NEJMoa2400645"
"38507750","Risk of Autism after Prenatal Topiramate, Valproate, or Lamotrigine Exposure","Hernández-Díaz S, Straub L, Bateman BT, Zhu Y, Mogun H, Wisner KL, Gray KJ, Lester B, McDougle CJ, DiCesare E, Pennell PB, Huybrechts KF.","N Engl J Med. 2024 Mar 21;390(12):1069-1079. doi: 10.1056/NEJMoa2309359.","Hernández-Díaz S","N Engl J Med","2024","2024/03/20","PMC11047762","NIHMS1981554","10.1056/NEJMoa2309359"
"38598569","What Is Rheumatoid Arthritis?","Gravallese EM, Firestein GS, Koscal N, Ling E, Longo DL, Messenger LA, Schubach A.","N Engl J Med. 2024 Apr 4;390(13):e32. doi: 10.1056/NEJMp2310178.","Gravallese EM","N Engl J Med","2024","2024/04/10","","","10.1056/NEJMp2310178"
"39588897","""Target Trial Emulation"" for Observational Studies - Potential and Pitfalls","Hubbard RA, Gatsonis CA, Hogan JW, Hunter DJ, Normand ST, Troxel AB.","N Engl J Med. 2024 Nov 28;391(21):1975-1977. doi: 10.1056/NEJMp2407586. Epub 2024 Nov 23.","Hubbard RA","N Engl J Med","2024","2024/11/26","","","10.1056/NEJMp2407586"
"38692291","Depression - Understanding, Identifying, and Diagnosing","Anderson E, Crawford CM, Fava M, Ingelfinger J, Nikayin S, Sanacora G, Scott-Vernaglia S, Teel J.","N Engl J Med. 2024 May 2;390(17):e41. doi: 10.1056/NEJMp2310179.","Anderson E","N Engl J Med","2024","2024/05/01","","","10.1056/NEJMp2310179"
"38767252","Implications of Race Adjustment in Lung-Function Equations","Diao JA, He Y, Khazanchi R, Nguemeni Tiako MJ, Witonsky JI, Pierson E, Rajpurkar P, Elhawary JR, Melas-Kyriazi L, Yen A, Martin AR, Levy S, Patel CJ, Farhat M, Borrell LN, Cho MH, Silverman EK, Burchard EG, Manrai AK.","N Engl J Med. 2024 Jun 13;390(22):2083-2097. doi: 10.1056/NEJMsa2311809. Epub 2024 May 19.","Diao JA","N Engl J Med","2024","2024/05/20","PMC11305821","NIHMS2003202","10.1056/NEJMsa2311809"
"38169490","Ultrasound Blood-Brain Barrier Opening and Aducanumab in Alzheimer's Disease","Rezai AR, D'Haese PF, Finomore V, Carpenter J, Ranjan M, Wilhelmsen K, Mehta RI, Wang P, Najib U, Vieira Ligo Teixeira C, Arsiwala T, Tarabishy A, Tirumalai P, Claassen DO, Hodder S, Haut MW.","N Engl J Med. 2024 Jan 4;390(1):55-62. doi: 10.1056/NEJMoa2308719.","Rezai AR","N Engl J Med","2024","2024/01/03","","","10.1056/NEJMoa2308719"
"40174225","Association between Wealth and Mortality in the United States and Europe","Machado S, Kyriopoulos I, Orav EJ, Papanicolas I.","N Engl J Med. 2025 Apr 3;392(13):1310-1319. doi: 10.1056/NEJMsa2408259.","Machado S","N Engl J Med","2025","2025/04/02","","","10.1056/NEJMsa2408259"
"38657244","Sequential CD7 CAR T-Cell Therapy and Allogeneic HSCT without GVHD Prophylaxis","Hu Y, Zhang M, Yang T, Mo Z, Wei G, Jing R, Zhao H, Chen R, Zu C, Gu T, Xiao P, Hong R, Feng J, Fu S, Kong D, Xu H, Cui J, Huang S, Liang B, Yuan X, Cui Q, Guo H, Yu Y, Feng Y, Jin C, Ren J, Chang AH, Wang D, Huang H.","N Engl J Med. 2024 Apr 25;390(16):1467-1480. doi: 10.1056/NEJMoa2313812.","Hu Y","N Engl J Med","2024","2024/04/24","","","10.1056/NEJMoa2313812"
"38810185","The Role of Interferon-γ in Autoimmune Polyendocrine Syndrome Type 1","Oikonomou V, Smith G, Constantine GM, Schmitt MM, Ferré EMN, Alejo JC, Riley D, Kumar D, Dos Santos Dias L, Pechacek J, Hadjiyannis Y, Webb T, Seifert BA, Ghosh R, Walkiewicz M, Martin D, Besnard M, Snarr BD, Deljookorani S, Lee CR, DiMaggio T, Barber P, Rosen LB, Cheng A, Rastegar A, de Jesus AA, Stoddard J, Kuehn HS, Break TJ, Kong HH, Castelo-Soccio L, Colton B, Warner BM, Kleiner DE, Quezado MM, Davis JL, Fennelly KP, Olivier KN, Rosenzweig SD, Suffredini AF, Anderson MS, Swidergall M, Guillonneau C, Notarangelo LD, Goldbach-Mansky R, Neth O, Monserrat-Garcia MT, Valverde-Fernandez J, Lucena JM, Gomez-Gila AL, Garcia Rojas A, Seppänen MRJ, Lohi J, Hero M, Laakso S, Klemetti P, Lundberg V, Ekwall O, Olbrich P, Winer KK, Afzali B, Moutsopoulos NM, Holland SM, Heller T, Pittaluga S, Lionakis MS.","N Engl J Med. 2024 May 30;390(20):1873-1884. doi: 10.1056/NEJMoa2312665.","Oikonomou V","N Engl J Med","2024","2024/05/29","PMC11323209","NIHMS2008627","10.1056/NEJMoa2312665"
"39018527","Postacute Sequelae of SARS-CoV-2 Infection in the Pre-Delta, Delta, and Omicron Eras","Xie Y, Choi T, Al-Aly Z.","N Engl J Med. 2024 Aug 8;391(6):515-525. doi: 10.1056/NEJMoa2403211. Epub 2024 Jul 17.","Xie Y","N Engl J Med","2024","2024/07/17","PMC11687648","","10.1056/NEJMoa2403211"
"40673696","Mitochondrial Donation and Preimplantation Genetic Testing for mtDNA Disease","Hyslop LA, Blakely EL, Aushev M, Marley J, Takeda Y, Pyle A, Moody E, Feeney C, Dutton J, Shaw C, Smith SJ, Craig K, Alston CL, Lister L, Endacott K, Byerley S, McDermott H, Wilson K, Botham L, Matthew B, Prathalingam N, Prior M, Murdoch A, Turnbull DM, Hudson G, Choudhary M, Taylor RW, Pillai RN, Stewart JA, McFarland R, Herbert M.","N Engl J Med. 2025 Jul 31;393(5):438-449. doi: 10.1056/NEJMoa2415539. Epub 2025 Jul 16.","Hyslop LA","N Engl J Med","2025","2025/07/17","PMC7617940","EMS206183","10.1056/NEJMoa2415539"
"41085057","DB-OTO Gene Therapy for Inherited Deafness","Valayannopoulos V, Bance M, Carvalho DS, Greinwald JH Jr, Harvey SA, Ishiyama A, Landry EC, Löwenheim H, Lustig LR, Manrique M, Nash R, Polo R, Pritchett CV, Rubinstein JT, Shearer AE, Del Castillo I, Anderson JJ, Corrales CE, Quigley TM, Riggs WJ, Weber P, Wilson G, Irvin SC, Hassan HE, Chen Y, Liu R, Drummond MC, Sabin LR, Musser BJ, Yancopoulos GD, Kyratsous CA, Herman GA, Baras A, Whitton JP; CHORD Study Group.","N Engl J Med. 2025 Oct 12. doi: 10.1056/NEJMoa2400521. Online ahead of print.","Valayannopoulos V","N Engl J Med","2025","2025/10/14","","","10.1056/NEJMoa2400521"
"38416429","Cognition and Memory after Covid-19 in a Large Community Sample","Hampshire A, Azor A, Atchison C, Trender W, Hellyer PJ, Giunchiglia V, Husain M, Cooke GS, Cooper E, Lound A, Donnelly CA, Chadeau-Hyam M, Ward H, Elliott P.","N Engl J Med. 2024 Feb 29;390(9):806-818. doi: 10.1056/NEJMoa2311330.","Hampshire A","N Engl J Med","2024","2024/02/28","PMC7615803","EMS194588","10.1056/NEJMoa2311330"
"39740051","Highly Pathogenic Avian Influenza A(H5N1) Virus Infections in Humans","Garg S, Reinhart K, Couture A, Kniss K, Davis CT, Kirby MK, Murray EL, Zhu S, Kraushaar V, Wadford DA, Drehoff C, Kohnen A, Owen M, Morse J, Eckel S, Goswitz J, Turabelidze G, Krager S, Unutzer A, Gonzales ER, Abdul Hamid C, Ellington S, Mellis AM, Budd A, Barnes JR, Biggerstaff M, Jhung MA, Richmond-Crum M, Burns E, Shimabukuro TT, Uyeki TM, Dugan VG, Reed C, Olsen SJ.","N Engl J Med. 2025 Feb 27;392(9):843-854. doi: 10.1056/NEJMoa2414610. Epub 2024 Dec 31.","Garg S","N Engl J Med","2025","2024/12/31","","","10.1056/NEJMoa2414610"
"39083764","Long Covid Defined","Ely EW, Brown LM, Fineberg HV; National Academies of Sciences, Engineering, and Medicine Committee on Examining the Working Definition for Long Covid.","N Engl J Med. 2024 Nov 7;391(18):1746-1753. doi: 10.1056/NEJMsb2408466. Epub 2024 Jul 31.","Ely EW","N Engl J Med","2024","2024/07/31","PMC11687645","","10.1056/NEJMsb2408466"
"41363801","Teclistamab plus Daratumumab in Relapsed or Refractory Multiple Myeloma","Costa LJ, Bahlis NJ, Perrot A, Nooka AK, Lu J, Pawlyn C, Mina R, Caeiro G, Kentos A, Hungria V, Reece D, Niu T, Mylin AK, Hansen CT, Teipel R, Besemer B, Dimopoulos MA, Zamagni E, Yoshihara S, Kim K, Min CK, Geerts P, Van Leeuwen-Segarceanu E, Tyczynska A, Reguera JL, Johansson M, Hansson M, Turgut M, Grey M, Sidana S, Rodriguez-Otero P, Martinez-Lopez J, Hashmi H, Carson R, Kobos R, Sun W, Lantz K, Seifert A, Briseno-Toomey D, O'Rourke L, Rubin M, Vieyra D, Kang L, Mateos MV; MajesTEC-3 Trial Investigators.","N Engl J Med. 2025 Dec 9. doi: 10.1056/NEJMoa2514663. Online ahead of print.","Costa LJ","N Engl J Med","2025","2025/12/09","","","10.1056/NEJMoa2514663"
"40689593","Mitochondrial Donation in a Reproductive Care Pathway for mtDNA Disease","McFarland R, Hyslop LA, Feeney C, Pillai RN, Blakely EL, Moody E, Prior M, Devlin A, Taylor RW, Herbert M, Choudhary M, Stewart JA, Turnbull DM.","N Engl J Med. 2025 Jul 31;393(5):461-468. doi: 10.1056/NEJMoa2503658. Epub 2025 Jul 16.","McFarland R","N Engl J Med","2025","2025/07/21","PMC7617939","EMS206184","10.1056/NEJMoa2503658"
"40174224","The Genetic Architecture of Congenital Diarrhea and Enteropathy","Gaibee Z, Warner N, Bugda Gwilt K, Li W, Guan R, Yourshaw M, Whittaker Hawkins R, Zorbas C, St-Germain J, Tabatabaie M, Mao S, Pinsk V, Yerushalmi B, Wang LK, Nelson SF, Wozniak L, Shouval DS, Matar M, Assa A, Frost N, Jimenez L, Acra S, Walters T, Mouat S, Li M, Lafontaine DLJ, Tyska M, Raught B, Avitzur Y, Lencer WI, Goldenring JR, Martín MG, Thiagarajah JR, Muise AM.","N Engl J Med. 2025 Apr 3;392(13):1297-1309. doi: 10.1056/NEJMoa2405333.","Gaibee Z","N Engl J Med","2025","2025/04/02","PMC11968080","NIHMS2042924","10.1056/NEJMoa2405333"
"39297560","Discovery of GLP-1-Based Drugs for the Treatment of Obesity","Drucker DJ.","N Engl J Med. 2025 Feb 6;392(6):612-615. doi: 10.1056/NEJMcibr2409089. Epub 2024 Sep 19.","Drucker DJ","N Engl J Med","2025","2024/09/19","","","10.1056/NEJMcibr2409089"
"39231344","A New Orthonairovirus Associated with Human Febrile Illness","Zhang XA, Ma YD, Zhang YF, Hu ZY, Zhang JT, Han S, Wang G, Li S, Wang X, Tang F, Liang WJ, Yuan HX, Zhao JQ, Jiang LF, Zhang L, Si GQ, Peng C, Wang R, Ge HH, Li N, Jiang BG, Li C, Li H, Liu W.","N Engl J Med. 2024 Sep 5;391(9):821-831. doi: 10.1056/NEJMoa2313722.","Zhang XA","N Engl J Med","2024","2024/09/04","","","10.1056/NEJMoa2313722"
"40392534","An Evidence-Based Approach to Covid-19 Vaccination","Prasad V, Makary MA.","N Engl J Med. 2025 Jun 26;392(24):2484-2486. doi: 10.1056/NEJMsb2506929. Epub 2025 May 20.","Prasad V","N Engl J Med","2025","2025/05/20","","","10.1056/NEJMsb2506929"
"38507753","Anti-Interleukin-23 Autoantibodies in Adult-Onset Immunodeficiency","Cheng A, Kashyap A, Salvator H, Rosen LB, Colby D, Ardeshir-Larijani F, Loehrer PJ, Ding L, Lugo Reyes SO, Riminton S, Ballman M, Rocco JM, Marciano BE, Freeman AF, Browne SK, Hsu AP, Zelazny A, Rajan A, Sereti I, Zerbe CS, Lionakis MS, Holland SM.","N Engl J Med. 2024 Mar 21;390(12):1105-1117. doi: 10.1056/NEJMoa2210665.","Cheng A","N Engl J Med","2024","2024/03/20","PMC12404335","NIHMS2097689","10.1056/NEJMoa2210665"
"39413376","Safety of Kidney Transplantation from Donors with HIV","Durand CM, Massie A, Florman S, Liang T, Rana MM, Friedman-Moraco R, Gilbert A, Stock P, Mehta SA, Mehta S, Stosor V, Pereira MR, Morris MI, Hand J, Aslam S, Malinis M, Haidar G, Small CB, Santos CAQ, Schaenman J, Baddley J, Wojciechowski D, Blumberg EA, Ranganna K, Adebiyi O, Elias N, Castillo-Lugo JA, Giorgakis E, Apewokin S, Brown D, Ostrander D, Eby Y, Desai N, Naqvi F, Bagnasco S, Watson N, Brittain E, Odim J, Redd AD, Tobian AAR, Segev DL; HOPE in Action Investigators.","N Engl J Med. 2024 Oct 17;391(15):1390-1401. doi: 10.1056/NEJMoa2403733.","Durand CM","N Engl J Med","2024","2024/10/16","PMC11606542","NIHMS2012524","10.1056/NEJMoa2403733"
"38856186","Guilty","Tello MA.","N Engl J Med. 2024 Jun 13;390(22):2043-2045. doi: 10.1056/NEJMp2400018. Epub 2024 Jun 8.","Tello MA","N Engl J Med","2024","2024/06/10","","","10.1056/NEJMp2400018"
