pmid,title,authors,author_count,journal,pub_year,pub_month,pub_day,pub_date,doi,article_type,abstract,abstract_length,keywords,keyword_count,language,publication_types,scraped_date
41467659,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,"Boulin Mathieu, Cransac-Miet Am&#xe9;lie, Tannenbaum Cara",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515452,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467658,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,"Hothi Sandeep S, Lau Clement, Tan Lip Bun",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515452,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467650,An Intravenous Brain-Penetrant Enzyme Therapy for Mucopolysaccharidosis II.,"Muenzer Joseph, Burton Barbara K, Harmatz Paul, Rajan Deepa S, Jones Simon A, van den Hout Johanna M P, Mitchell John J, Bhalla Akhil",16,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMoa2508681,Original Article,"Tividenofusp alfa, comprising iduronate-2-sulfatase fused to an engineered transferrin receptor-binding Fc domain, has been developed to treat neurologic and peripheral manifestations of mucopolysaccharidosis type II (MPS II), a rare lysosomal disorder causing progressive multisystem and neurologic decline. We conducted a phase 1-2, open-label study in which male participants up to 18 years of age with MPS II received weekly intravenous tividenofusp alfa for 24 weeks, followed by an 80-week safety extension and a 157-week open-label extension. The primary objective was to evaluate the safety of tividenofusp alfa. Secondary objectives were to evaluate central nervous system and peripheral effects as assessed by cerebrospinal fluid (CSF) and urinary heparan sulfate levels, adaptive behavior (as assessed with the Vineland Adaptive Behavior Scales), and liver volume. A total of 47 male participants were enrolled. At the 24-week primary analysis, all 47 participants reported at least one adverse event that emerged during the treatment period, most commonly infusion-related reactions. Pyrexia, urticaria, and vomiting were the most frequently reported symptoms of infusion-related reactions, occurring in more than 40% of the participants, despite routine premedication. Three participants had serious treatment-related adverse events; all continued to receive treatment. CSF and urinary heparan sulfate levels appeared to be reduced from baseline by 91% and 88%, respectively. Across all study periods, adverse events remained common. Reductions in heparan sulfate levels appeared to be maintained through week 153, adaptive behavior stabilized or improved, and liver volumes normalized or remained normal. In participants with MPS II, tividenofusp alfa treatment was commonly associated with adverse events. Heparan sulfate, the primary substrate that accumulates in the CSF and urine in persons with MPS II, appeared to decrease to levels within the range of unaffected children. A randomized trial is ongoing to further evaluate these effects. (Funded by Denali Therapeutics; ClinicalTrials.gov number, NCT04251026; EudraCT number, 2019-004909-27.).",2164,,0,eng,"Journal Article, Clinical Trial, Phase II, Clinical Trial, Phase I, Multicenter Study",2026-01-11 18:47:45
41467649,Who Can See Their PCP?: NOS Episode 3.8.,,0,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMp2514239,Correspondence,,0,,0,eng,Journal Article,2026-01-11 18:47:45
41427662,Live Attenuated Varicella Virus Vaccine - Efficacy Trial in Healthy Children.,,0,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMx250021,Correspondence,,0,,0,eng,Published Erratum,2026-01-11 18:47:45
41406460,Spiderweb-like Vessels in Retinopathy of Prematurity. Reply.,"Zhao Xinyu, Zhang Guoming",2,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2513189,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406459,Spiderweb-like Vessels in Retinopathy of Prematurity.,"Peng Jie, Zhao Peiquan",2,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2513189,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406458,Allogeneic Beta Cells with No Immunosuppression. Reply.,"Carlsson Per-Ola, Deuse Tobias, Schrepfer Sonja",3,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2516172,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406457,Allogeneic Beta Cells with No Immunosuppression.,"Kumar Pawan, Kenwar Deepesh B, Sharma Ashish",3,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2516172,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406456,Aficamten Monotherapy for Hypertrophic Cardiomyopathy. Reply.,"Garcia-Pavia Pablo, Maron Martin S, Lewis Gregory D",3,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2514558,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406455,Aficamten Monotherapy for Hypertrophic Cardiomyopathy.,"Mapelli Massimo, Willixhofer Robin, Agostoni Piergiuseppe",3,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2514558,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406454,Aficamten Monotherapy for Hypertrophic Cardiomyopathy.,"Ahamed Hisham, Ommen Steve R, Rowin Ethan J",3,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMc2514558,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41406449,"Case 36-2025: A 55-Year-Old Woman with Dyspnea, Fatigue, and Gastrointestinal Bleeding.","Bhan Irun, Rasmussen Robert G, Wu Vincent",3,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMcpc2513535,Correspondence,,0,,0,eng,"Case Reports, Journal Article",2026-01-11 18:47:48
41406445,Trial of High-Dose Oral Rifampin in Adults with Tuberculous Meningitis.,"Meya David B, Cresswell Fiona V, Dai Biyue, Engen Nicole, Naidoo Kogieleum, Ganiem Ahmad Rizal, Imran Darma, Kabahubya Mable",35,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMoa2502866,Correspondence,"Tuberculous meningitis is often lethal, and many survivors have disabilities despite antimicrobial treatment and adjunctive glucocorticoid therapy. Standard-dose rifampin has limited central nervous system penetration. Whether high-dose rifampin could improve survival outcomes is unknown. We performed a double-blind, randomized, placebo-controlled clinical trial involving adults with tuberculous meningitis in Indonesia, South Africa, and Uganda. We assigned persons with and those without human immunodeficiency virus (HIV) coinfection to receive standard daily isoniazid, rifampin (at a dose of 10 mg per kilogram of body weight), ethambutol, and pyrazinamide plus either additional rifampin (for a cumulative dose of 35 mg per kilogram; high-dose group) or matched placebo (standard-dose group) for 8 weeks; participants&#xa0;in both groups received standard therapy for the remainder of the 9-to-12-month treatment course. The primary outcome was 6-month mortality. A total of 499 participants were included in the intention-to-treat population (249 randomly assigned to the high-dose group and 250 to the standard-dose group), of whom 304 (60.9%) were persons living with HIV and 428 (85.8%) had definite or probable tuberculous meningitis. During 6 months of follow-up, 109 participants (Kaplan-Meier estimate, 44.6%) in the high-dose group and 100 participants (Kaplan-Meier estimate, 40.7%) in the standard-dose group died (hazard ratio, 1.17; 95% confidence interval, 0.89 to 1.54; P&#x2009;=&#x2009;0.25). Among the participants who died within 6 months, the median time to death was 13 days (interquartile range, 4 to 39) in the high-dose group and 24 days (interquartile range, 6 to 56) in the standard-dose group. Drug-induced liver injury occurred in 8.0% of the participants in the high-dose group and in 4.4% of those in the standard-dose group, but no deaths from drug-induced liver injury occurred. Among persons with tuberculous meningitis, no evidence of beneficial effect from high-dose rifampin was observed, and the potential for a harmful effect cannot be ruled out. (Funded by the U.K. Medical Research Council and others; ISRCTN Registry number, ISRCTN15668391.).",2192,,0,eng,"Clinical Trial, Phase III, Journal Article, Multicenter Study, Randomized Controlled Trial",2026-01-11 18:47:48
41406444,Cardiovascular Outcomes with Tirzepatide versus Dulaglutide in Type 2 Diabetes.,"Nicholls Stephen J, Pavo Imre, Bhatt Deepak L, Buse John B, Del Prato Stefano, Kahn Steven E, Lincoff A Michael, McGuire Darren K",27,The New England journal of medicine,2025,12,17,2025 12 17,10.1056/NEJMoa2505928,Correspondence,"Tirzepatide, a dual incretin agonist of the glucagon-like peptide-1 and glucose-dependent insulinotropic polypeptide receptors, has favorable effects on glycemic control and body weight. The effects on cardiovascular outcomes are uncertain. We conducted an active-comparator-controlled, double-blind, noninferiority trial in which patients with type 2 diabetes and atherosclerotic cardiovascular disease were randomly assigned in a 1:1 ratio to receive a weekly subcutaneous injection of tirzepatide (up to 15 mg) or dulaglutide (1.5 mg), an agent that has been shown to reduce the incidence of cardiovascular events. The primary end point was a composite of death from cardiovascular causes, myocardial infarction, or stroke and was tested for noninferiority of tirzepatide to dulaglutide with a margin of 1.05 for the upper limit of the 95.3% confidence interval for the hazard ratio. An upper limit of less than 1.00 was considered to indicate superiority of tirzepatide to dulaglutide. A total of 13,299 patients underwent randomization; 134 were subsequently excluded because they did not meet inclusion criteria. The modified intention-to-treat population thus included 6586 patients in the tirzepatide group and 6579 in the dulaglutide group. The mean (&#xb1;SD) age of the patients was 64.1&#xb1;8.8 years, 29.0% were women, the mean body-mass index (the weight in kilograms divided by the square of the height in meters) was 32.6&#xb1;5.5, the mean glycated hemoglobin level was 8.4&#xb1;0.9%, and the mean duration of diabetes was 14.7&#xb1;8.8 years. A primary end-point event occurred in 801 patients (12.2%) in the tirzepatide group and 862 (13.1%) in the dulaglutide group (hazard ratio, 0.92; 95.3% confidence interval, 0.83 to 1.01; P&#x2009;=&#x2009;0.003 for noninferiority; P&#x2009;=&#x2009;0.09 for superiority). The incidence of adverse events appeared to be similar in the two groups, although more gastrointestinal adverse events were observed in the tirzepatide group. Among patients with type 2 diabetes and atherosclerotic cardiovascular disease, tirzepatide was noninferior to dulaglutide with respect to a composite of death from cardiovascular causes, myocardial infarction, or stroke. (Funded by Eli Lilly; SURPASS-CVOT ClinicalTrials.gov number, NCT04255433.).",2292,,0,eng,"Clinical Trial, Phase III, Equivalence Trial, Journal Article, Multicenter Study",2026-01-11 18:47:48
41370815,Abdominojugular Reflux Test. Reply.,"Bent Stephen, Dhaliwal Gurpreet",2,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2514311,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370814,Abdominojugular Reflux Test.,"Lehl Sarabmeet, Gupta Monica, Cruz Sanjay D",3,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2514311,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370813,Oral Semaglutide in Adults with Overweight or Obesity. Reply.,"Wharton Sean, Duque do Vale Ruben, Garvey W Timothy",3,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515109,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370812,Oral Semaglutide in Adults with Overweight or Obesity.,"Liu Hongquan, Sun Fengze, Wu Jitao",3,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515109,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370811,Oral Semaglutide in Adults with Overweight or Obesity.,"Kermansaravi Mohammad, Cohen Ricardo V",2,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515109,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370810,Extended Treatment of Provoked Venous Thromboembolism. Reply.,Piazza Gregory,1,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515264,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370809,Extended Treatment of Provoked Venous Thromboembolism.,Tazi Mezalek Zoubida,1,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515264,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370808,Extended Treatment of Provoked Venous Thromboembolism.,Calvello Jonathan,1,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515264,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370807,Extended Treatment of Provoked Venous Thromboembolism.,"Jacob Sibele C B, Benedetto Igor G, Gazzana Marcelo B",3,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515264,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370806,Extended Treatment of Provoked Venous Thromboembolism.,"Demirci &#x15e;ahin Ay&#x15f;e, &#x15e;ahin U&#x11f;ur",2,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMc2515264,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:48
41370805,Molecular Evidence of Multiorgan Damage in Patients with Immune-Related Adverse Events.,"Wang Yuxuan, Li Howard L, Bettegowda Chetan, Kinzler Kenneth W, Papadopoulos Nickolas, Yarchoan Mark, Vogelstein Bert",7,The New England journal of medicine,2025,12,14,2025 12 14,10.1056/NEJMc2513984,Correspondence,,0,,0,eng,Letter,2026-01-11 18:47:48
41370804,Understanding How Aspirin Prevents Metastasis.,"Langley Ruth E, Burn John",2,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMcibr2502386,Original Article,,0,,0,eng,Journal Article,2026-01-11 18:47:48
41370801,Case 35-2025: A 5-Year-Old Boy with Fever and Rash.,"Feldman Mitchell J, Murray Ann M, Hawryluk Elena B, Rothermel Holly, Stonhill Miekan A",5,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMcpc2412530,Correspondence,,0,,0,eng,"Case Reports, Journal Article",2026-01-11 18:47:48
41370798,Raising a RUCkus: NOS Episode 3.7.,,0,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMp2514238,Correspondence,,0,,0,eng,Journal Article,2026-01-11 18:47:48
41370739,Trastuzumab Deruxtecan in Residual HER2-Positive Early Breast Cancer.,"Loibl Sibylle, Park Yeon Hee, Shao Zhiming, Huang Chiun-Sheng, Barrios Carlos, Abraham Jame, Prat Aleix, Niikura Naoki",30,The New England journal of medicine,2025,12,10,2025 12 10,10.1056/NEJMoa2514661,Correspondence,"Patients with human epidermal growth factor receptor 2 (HER2)-positive early breast cancer and residual disease after neoadjuvant therapy are at high risk for recurrence. In a phase 3, open-label, international, randomized trial, we investigated postneoadjuvant trastuzumab deruxtecan (T-DXd; 5.4 mg per kilogram of body weight) as compared with trastuzumab emtansine (T-DM1; 3.6 mg per kilogram), the current standard treatment, in patients with HER2-positive breast cancer with residual invasive disease and node-positive disease at surgery or inoperable disease at diagnosis. The primary end point was invasive disease-free survival, and the key secondary end point was disease-free survival (including survival free from noninvasive breast cancers and second primary nonbreast cancers). Other end points included overall survival, distant recurrence-free interval, brain metastasis-free interval, and safety. A total of 1635 patients were randomly assigned (in a 1:1 ratio) to receive T-DXd (818 patients) or T-DM1 (817 patients). At the data-cutoff date, the median duration of follow-up was approximately 30 months in each group. Invasive-disease events or deaths were reported in 51 patients (6.2%) in the T-DXd group and 102 patients (12.5%) in the T-DM1 group (hazard ratio, 0.47; 95% confidence interval [CI], 0.34 to 0.66; P<0.001); 3-year invasive disease-free survival was 92.4% and 83.7%, respectively. Invasive-disease events, noninvasive-disease events, or deaths were reported in 52 patients (6.4%) in the T-DXd group and 103 patients (12.6%) in the T-DM1 group (hazard ratio, 0.47; 95% CI, 0.34 to 0.66; P<0.001); 3-year disease-free survival was 92.3% and 83.5%, respectively. The most common adverse events were nausea (71.3% of patients), constipation (32.0%), decreased neutrophil count (31.6%), and vomiting (31.0%) with T-DXd and increased liver-enzyme levels (aspartate aminotransferase [50.2%] and alanine aminotransferase [45.3%]) and decreased platelet count (49.8%) with T-DM1. The incidence of adjudicated drug-related interstitial lung disease was higher with T-DXd than with T-DM1 (9.6% vs. 1.6%). Two patients with interstitial lung disease in the T-DXd group died. In patients with high-risk, residual invasive HER2-positive breast cancer, postneoadjuvant T-DXd resulted in a significantly higher likelihood of invasive disease-free survival than T-DM1; toxic effects were mainly gastrointestinal and hematologic. An important identified risk of T-DXd is interstitial lung disease, which requires appropriate monitoring and management. (Funded by Daiichi Sankyo and AstraZeneca; DESTINY-Breast05 ClinicalTrials.gov number, NCT04622319.).",2671,,0,eng,Journal Article,2026-01-11 18:47:48
41369227,Ketamine or Etomidate for Tracheal Intubation of Critically Ill Adults.,"Casey Jonathan D, Seitz Kevin P, Driver Brian E, Gibbs Kevin W, Ginde Adit A, Trent Stacy A, Russell Derek W, Muhs Amelia L",44,The New England journal of medicine,2025,12,21,2025 12 21,10.1056/NEJMoa2511420,Correspondence,"For critically ill adults undergoing tracheal intubation, observational studies suggest that the use of etomidate to induce anesthesia may increase the risk of death. Whether the use of ketamine rather than etomidate decreases the risk of death is uncertain. In a randomized trial conducted in 14 emergency departments and intensive care units in the United States, we randomly assigned critically ill adults who were undergoing tracheal intubation to receive ketamine or etomidate for the induction of anesthesia. The primary outcome was in-hospital death from any cause by day 28. The secondary outcome was cardiovascular collapse during intubation, defined by the occurrence of a systolic blood pressure below 65 mm Hg, receipt of a new or increased dose of vasopressors, or cardiac arrest. A total of 2365 patients underwent randomization and were included in the trial population; 1176 were assigned to the ketamine group and 1189 to the etomidate group. In-hospital death by day 28 occurred in 330 of 1173 patients (28.1%) in the ketamine group and in 345 of 1186 patients (29.1%) in the etomidate group (risk difference adjusted for trial site, -0.8 percentage points; 95% confidence interval [CI], -4.5 to 2.9; P&#x2009;=&#x2009;0.65). Cardiovascular collapse during intubation occurred in 260 of 1176 patients (22.1%) in the ketamine group and in 202 of 1189 patients (17.0%) in the etomidate group (risk difference, 5.1 percentage points; 95% CI, 1.9 to 8.3). Prespecified safety outcomes were similar in the two groups. Among critically ill adults undergoing tracheal intubation, the use of ketamine to induce anesthesia did not result in a significantly lower incidence of in-hospital death by day 28 than etomidate. (Funded by the Patient-Centered Outcomes Research Institute and others; RSI ClinicalTrials.gov number, NCT05277896.).",1846,,0,eng,Journal Article,2026-01-11 18:47:48
41363805,Universal Base-Edited CAR7 T Cells for T-Cell Acute Lymphoblastic Leukemia.,"Chiesa Robert, Georgiadis Christos, Rashed Hebatalla, Preece Roland, Hardefeldt Prudence, Chu Jan, Selvage Jemma, Mishra Avijeet",16,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMoa2505478,Original Article,"CD7 is an attractive target for chimeric antigen receptor (CAR) T-cell therapy in relapsed or refractory T-cell acute lymphoblastic leukemia (ALL). Supportive results of first-in-human studies of base-edited anti-CD7 CAR (BE-CAR7) T cells with triple C&#x2192;T deamination-mediated knockouts of TCR&#x3b1;&#x3b2;, CD52, and CD7 have been reported previously. In a phase 1 study, we administered BE-CAR7 T cells to children (&#x2264;16 years of age) with relapsed or refractory T-cell ALL after they had undergone lymphodepletion with fludarabine, cyclophosphamide, and alemtuzumab. Adults with compassionate-use access arrangements were also eligible. Patients who had remission by day 28 after the BE-CAR7 T-cell infusion proceeded to allogeneic hematopoietic stem-cell transplantation. The primary outcome was safety. Secondary outcomes included duration of remission, disease-free survival, and overall survival. BE-CAR7 T cells were administered to 9 children, as well as to 2 adults who were treated under compassionate-use access arrangements. Lymphodepletion and BE-CAR7 infusions did not lead to unacceptable adverse events, and circulating CAR7 T cells were detected in all the patients. Complications included cytokine release syndrome of grades 1 through 4, transient rashes, multilineage cytopenia, and opportunistic infections. All the patients had complete morphologic remission with incomplete count recovery at day 28. Nine patients (82%) had deep remission (according to flow cytometry or polymerase-chain-reaction assay) that allowed them to proceed to stem-cell transplantation, and 2 patients with quantifiable minimal residual disease in bone marrow received palliative care. Transplantation eliminated remaining BE-CAR7 T cells and supported donor-derived, multilineage reconstitution. Viral reactivations were frequent, and 3 patients had clinically significant virus-related complications after transplantation. Overall, 7 of the 11 patients (64%) who received the investigational therapy were in ongoing remission at 3 to 36 months after transplantation, and leukemia with loss of CD7 expression was documented in 2 patients. Universal BE-CAR7 T cells induced leukemic remission in patients with relapsed or refractory T-cell ALL, thus allowing successful allogeneic hematopoietic stem-cell transplantation in most of the patients. (Funded by the Medical Research Council and others; ISRCTN Registry number, ISRCTN15323014.).",2451,,0,eng,"Clinical Trial, Phase I, Journal Article",2026-01-11 18:47:48
