pmid,title,authors,journal,pub_date,doi,abstract,article_type
41467660,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,Curtain James P,The New England journal of medicine,2025 12,10.1056/NEJMc2515452,,Correspondence
41467659,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,"Boulin Mathieu, Cransac-Miet Am&#xe9;lie, Tannenbaum Cara",The New England journal of medicine,2025 12,10.1056/NEJMc2515452,,Correspondence
41467658,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,"Hothi Sandeep S, Lau Clement, Tan Lip Bun",The New England journal of medicine,2025 12,10.1056/NEJMc2515452,,Correspondence
41467657,Direct-Acting Antiviral Agents in Hepatitis C-Associated Indolent Lymphomas.,"Merli Michele, Genuardi Elisa, Zibellini Silvia, Rattotti Sara, Spina Michele",The New England journal of medicine,2025 12,10.1056/NEJMc2513023,,Correspondence
41467651,Cardiogenic Shock.,"Thiele Holger, Hassager Christian",The New England journal of medicine,2025 12,10.1056/NEJMra2312086,"Cardiogenic shock is characterized by depression of cardiac function that leads to low blood pressure, coronary ischemia, and further decreased cardiac contractility resulting in tissue hypoxemia. The condition is associated with high early mortality, approaching 50%, which is largely influenced by the underlying etiologic factors. In infarct-related cardiogenic shock, rapid restoration of coronary blood flow substantially reduces mortality. Mechanical circulatory support devices offer hemodynam...",Original Article
41467650,An Intravenous Brain-Penetrant Enzyme Therapy for Mucopolysaccharidosis II.,"Muenzer Joseph, Burton Barbara K, Harmatz Paul, Rajan Deepa S, Jones Simon A",The New England journal of medicine,2025 12,10.1056/NEJMoa2508681,"Tividenofusp alfa, comprising iduronate-2-sulfatase fused to an engineered transferrin receptor-binding Fc domain, has been developed to treat neurologic and peripheral manifestations of mucopolysaccharidosis type II (MPS II), a rare lysosomal disorder causing progressive multisystem and neurologic decline.",Original Article
41406460,Spiderweb-like Vessels in Retinopathy of Prematurity. Reply.,"Zhao Xinyu, Zhang Guoming",The New England journal of medicine,2025 12,10.1056/NEJMc2513189,,Correspondence
41406459,Spiderweb-like Vessels in Retinopathy of Prematurity.,"Peng Jie, Zhao Peiquan",The New England journal of medicine,2025 12,10.1056/NEJMc2513189,,Correspondence
41406458,Allogeneic Beta Cells with No Immunosuppression. Reply.,"Carlsson Per-Ola, Deuse Tobias, Schrepfer Sonja",The New England journal of medicine,2025 12,10.1056/NEJMc2516172,,Correspondence
41406457,Allogeneic Beta Cells with No Immunosuppression.,"Kumar Pawan, Kenwar Deepesh B, Sharma Ashish",The New England journal of medicine,2025 12,10.1056/NEJMc2516172,,Correspondence
41406456,Aficamten Monotherapy for Hypertrophic Cardiomyopathy. Reply.,"Garcia-Pavia Pablo, Maron Martin S, Lewis Gregory D",The New England journal of medicine,2025 12,10.1056/NEJMc2514558,,Correspondence
41406455,Aficamten Monotherapy for Hypertrophic Cardiomyopathy.,"Mapelli Massimo, Willixhofer Robin, Agostoni Piergiuseppe",The New England journal of medicine,2025 12,10.1056/NEJMc2514558,,Correspondence
41406454,Aficamten Monotherapy for Hypertrophic Cardiomyopathy.,"Ahamed Hisham, Ommen Steve R, Rowin Ethan J",The New England journal of medicine,2025 12,10.1056/NEJMc2514558,,Correspondence
41406453,A Case of Cervical Ectopic Pregnancy after the Dobbs Decision.,"Diniz Clarissa P, Bal Japjot, Nelson Hallie, Findley Molly",The New England journal of medicine,2025 12,10.1056/NEJMc2508182,,Correspondence
41406445,Trial of High-Dose Oral Rifampin in Adults with Tuberculous Meningitis.,"Meya David B, Cresswell Fiona V, Dai Biyue, Engen Nicole, Naidoo Kogieleum",The New England journal of medicine,2025 12,10.1056/NEJMoa2502866,"Tuberculous meningitis is often lethal, and many survivors have disabilities despite antimicrobial treatment and adjunctive glucocorticoid therapy. Standard-dose rifampin has limited central nervous system penetration. Whether high-dose rifampin could improve survival outcomes is unknown.",Correspondence
41406444,Cardiovascular Outcomes with Tirzepatide versus Dulaglutide in Type 2 Diabetes.,"Nicholls Stephen J, Pavo Imre, Bhatt Deepak L, Buse John B, Del Prato Stefano",The New England journal of medicine,2025 12,10.1056/NEJMoa2505928,"Tirzepatide, a dual incretin agonist of the glucagon-like peptide-1 and glucose-dependent insulinotropic polypeptide receptors, has favorable effects on glycemic control and body weight. The effects on cardiovascular outcomes are uncertain.",Original Article
41370815,Abdominojugular Reflux Test. Reply.,"Bent Stephen, Dhaliwal Gurpreet",The New England journal of medicine,2025 12,10.1056/NEJMc2514311,,Correspondence
41370814,Abdominojugular Reflux Test.,"Lehl Sarabmeet, Gupta Monica, Cruz Sanjay D",The New England journal of medicine,2025 12,10.1056/NEJMc2514311,,Correspondence
41370813,Oral Semaglutide in Adults with Overweight or Obesity. Reply.,"Wharton Sean, Duque do Vale Ruben, Garvey W Timothy",The New England journal of medicine,2025 12,10.1056/NEJMc2515109,,Correspondence
41370812,Oral Semaglutide in Adults with Overweight or Obesity.,"Liu Hongquan, Sun Fengze, Wu Jitao",The New England journal of medicine,2025 12,10.1056/NEJMc2515109,,Correspondence
41370811,Oral Semaglutide in Adults with Overweight or Obesity.,"Kermansaravi Mohammad, Cohen Ricardo V",The New England journal of medicine,2025 12,10.1056/NEJMc2515109,,Correspondence
41370810,Extended Treatment of Provoked Venous Thromboembolism. Reply.,Piazza Gregory,The New England journal of medicine,2025 12,10.1056/NEJMc2515264,,Correspondence
41370809,Extended Treatment of Provoked Venous Thromboembolism.,Tazi Mezalek Zoubida,The New England journal of medicine,2025 12,10.1056/NEJMc2515264,,Correspondence
41370808,Extended Treatment of Provoked Venous Thromboembolism.,Calvello Jonathan,The New England journal of medicine,2025 12,10.1056/NEJMc2515264,,Correspondence
41370807,Extended Treatment of Provoked Venous Thromboembolism.,"Jacob Sibele C B, Benedetto Igor G, Gazzana Marcelo B",The New England journal of medicine,2025 12,10.1056/NEJMc2515264,,Correspondence
41370806,Extended Treatment of Provoked Venous Thromboembolism.,"Demirci &#x15e;ahin Ay&#x15f;e, &#x15e;ahin U&#x11f;ur",The New England journal of medicine,2025 12,10.1056/NEJMc2515264,,Correspondence
41370805,Molecular Evidence of Multiorgan Damage in Patients with Immune-Related Adverse Events.,"Wang Yuxuan, Li Howard L, Bettegowda Chetan, Kinzler Kenneth W, Papadopoulos Nickolas",The New England journal of medicine,2025 12,10.1056/NEJMc2513984,,Correspondence
41370739,Trastuzumab Deruxtecan in Residual HER2-Positive Early Breast Cancer.,"Loibl Sibylle, Park Yeon Hee, Shao Zhiming, Huang Chiun-Sheng, Barrios Carlos",The New England journal of medicine,2025 12,10.1056/NEJMoa2514661,Patients with human epidermal growth factor receptor 2 (HER2)-positive early breast cancer and residual disease after neoadjuvant therapy are at high risk for recurrence.,Original Article
41369227,Ketamine or Etomidate for Tracheal Intubation of Critically Ill Adults.,"Casey Jonathan D, Seitz Kevin P, Driver Brian E, Gibbs Kevin W, Ginde Adit A",The New England journal of medicine,2025 12,10.1056/NEJMoa2511420,"For critically ill adults undergoing tracheal intubation, observational studies suggest that the use of etomidate to induce anesthesia may increase the risk of death. Whether the use of ketamine rather than etomidate decreases the risk of death is uncertain.",Original Article
41363805,Universal Base-Edited CAR7 T Cells for T-Cell Acute Lymphoblastic Leukemia.,"Chiesa Robert, Georgiadis Christos, Rashed Hebatalla, Preece Roland, Hardefeldt Prudence",The New England journal of medicine,2026 01,10.1056/NEJMoa2505478,"CD7 is an attractive target for chimeric antigen receptor (CAR) T-cell therapy in relapsed or refractory T-cell acute lymphoblastic leukemia (ALL). Supportive results of first-in-human studies of base-edited anti-CD7 CAR (BE-CAR7) T cells with triple C&#x2192;T deamination-mediated knockouts of TCR&#x3b1;&#x3b2;, CD52, and CD7 have been reported previously.",Original Article
41363801,Teclistamab plus Daratumumab in Relapsed or Refractory Multiple Myeloma.,"Costa Luciano J, Bahlis Nizar J, Perrot Aurore, Nooka Ajay K, Lu Jin",The New England journal of medicine,2025 12,10.1056/NEJMoa2514663,"In a phase 1-2 trial, teclistamab, a bispecific antibody targeting CD3 on T-cell surfaces and B-cell maturation antigen on myeloma cells, showed durable responses in heavily pretreated patients with relapsed or refractory multiple myeloma. Daratumumab, a monoclonal antibody targeting CD38 protein, has shown survival benefit in patients with multiple myeloma.",Correspondence
41363800,Ianalumab plus Eltrombopag in Immune Thrombocytopenia.,"Cuker Adam, Stauch Thomas, Cooper Nichola, Al-Samkari Hanny, Michel Marc",The New England journal of medicine,2025 12,10.1056/NEJMoa2515168,"Current second-line treatments for immune thrombocytopenia (ITP) require long-term administration. Ianalumab, a monoclonal antibody targeting B cells, is being assessed as a short-course second-line therapy in ITP.",Correspondence
41358601,Fixed-Duration versus Continuous Treatment for Chronic Lymphocytic Leukemia.,"Al-Sawaf Othman, Stumpf Janina, Zhang Can, Simon Florian, Bosch Francesc",The New England journal of medicine,2025 12,10.1056/NEJMoa2515458,Treatment of chronic lymphocytic leukemia (CLL) currently consists of two main approaches - continuous therapy with Bruton's tyrosine kinase inhibitors and fixed-duration regimens combining venetoclax with either CD20 antibodies or Bruton's tyrosine kinase inhibitors. Comparisons of these two therapeutic approaches are lacking.,Correspondence
41358590,Prime Editing for p47phox-Deficient Chronic Granulomatous Disease.,"Gori Jennifer L, Haddad Elie, Frangoul Haydar, Kohn Donald B, Morris Emma C",The New England journal of medicine,2025 12,10.1056/NEJMoa2509807,"Chronic granulomatous disease (CGD) is a severe monogenic immunodeficiency caused by damaging variants in genes required for microbicidal NADPH oxidase activity. Autosomal recessive p47phox-deficient CGD (p47-CGD) is predominantly caused by a two-nucleotide deletion in exon 2 (delGT) of NCF1. We developed PM359, an autologous CD34+ hematopoietic stem-cell therapy in which prime editing is used to correct delGT. Two participants received PM359 after myeloid conditioning with busulfan: neutrophils...",Original Article
41358585,Final Analysis of a Study of Etranacogene Dezaparvovec for Hemophilia B.,"Pipe Steven W, Miesbach Wolfgang, Recht Michael, Leebeek Frank W G, Key Nigel S",The New England journal of medicine,2025 12,10.1056/NEJMoa2514332,"Prophylactic treatment for hemophilia B necessitates lifelong, regular intravenous factor IX infusions. Gene therapy offers the possibility of a single-dose treatment that produces durable endogenous factor IX expression and disease control. Etranacogene dezaparvovec comprises an adeno-associated virus serotype 5 (AAV5) vector and the highly active Padua factor IX variant. The primary analysis of this study showed that etranacogene dezaparvovec reduced annualized bleeding rates and adverse event...",Original Article
41358582,Dual Targeting of Extramedullary Myeloma with Talquetamab and Teclistamab.,"Kumar Shaji, Mateos Mar&#xed;a-Victoria, Ye Jing Christine, Atrash Shebli, Magen Hila",The New England journal of medicine,2025 12,10.1056/NEJMoa2514752,"Patients with plasmacytomas that are noncontiguous with bone marrow (true extramedullary myeloma) are at high risk for disease progression or relapse. Phase 1 of the RedirecTT-1 study showed promising efficacy with dual-antigen targeting of myeloma with talquetamab (anti-G protein-coupled receptor family C group 5 member D) plus teclistamab (anti-B-cell maturation antigen) in patients with triple-class-exposed relapsed or refractory multiple myeloma, including those with true extramedullary myel...",Correspondence
41337735,Noninferiority of One HPV Vaccine Dose to Two Doses.,"Kreimer Aim&#xe9;e R, Porras Carolina, Liu Danping, Hildesheim Allan, Carvajal Loretto J",The New England journal of medicine,2025 12,10.1056/NEJMoa2506765,"Multidose human papillomavirus (HPV) vaccination is efficacious, yet the vaccine has been underused globally. Emerging data suggest that a single dose may provide protection. Whether a single dose of HPV vaccine would provide similar protection to two doses is uncertain.",Original Article
41337731,Measurable Residual Disease-Guided Therapy for Chronic Lymphocytic Leukemia. Reply.,"Munir Talha, Cairns David A, Hillmen Peter",The New England journal of medicine,2025 12,10.1056/NEJMc2515262,,Correspondence
41337730,Measurable Residual Disease-Guided Therapy for Chronic Lymphocytic Leukemia.,"Wang Yun, Zhu Ziang, Liang Yang",The New England journal of medicine,2025 12,10.1056/NEJMc2515262,,Correspondence
41337729,Measurable Residual Disease-Guided Therapy for Chronic Lymphocytic Leukemia.,Fleischman Roger A,The New England journal of medicine,2025 12,10.1056/NEJMc2515262,,Correspondence
41337728,"Orforglipron, an Oral GLP-1 Receptor Agonist, in Early Type 2 Diabetes. Reply.","Rosenstock Julio, Cox David, Denning Max",The New England journal of medicine,2025 12,10.1056/NEJMc2515117,,Correspondence
41337727,"Orforglipron, an Oral GLP-1 Receptor Agonist, in Early Type 2 Diabetes.","Xie Xuemei, Xuan Xiuping",The New England journal of medicine,2025 12,10.1056/NEJMc2515117,,Correspondence
41337726,"Orforglipron, an Oral GLP-1 Receptor Agonist, in Early Type 2 Diabetes.",Jagarlapudi Siva P,The New England journal of medicine,2025 12,10.1056/NEJMc2515117,,Correspondence
41337725,"Orforglipron, an Oral GLP-1 Receptor Agonist, in Early Type 2 Diabetes.",Nagaoka Tadasu,The New England journal of medicine,2025 12,10.1056/NEJMc2515117,,Correspondence
41337724,Once-Monthly Maridebart Cafraglutide in Obesity - A Phase 2 Trial. Reply.,"Jastreboff Ania M, Ryan Donna H, Pannacciulli Nicola",The New England journal of medicine,2025 12,10.1056/NEJMc2514331,,Correspondence
41337723,Once-Monthly Maridebart Cafraglutide in Obesity - A Phase 2 Trial.,"Muskiet Marcel H A, Smits Mark M",The New England journal of medicine,2025 12,10.1056/NEJMc2514331,,Correspondence
41337722,Once-Monthly Maridebart Cafraglutide in Obesity - A Phase 2 Trial.,Liu Qiyuan K,The New England journal of medicine,2025 12,10.1056/NEJMc2514331,,Correspondence
41337721,Stability of Avian Influenza A(H5N1) Virus in Milk from Infected Cows and Virus-Spiked Milk.,"Guan Lizheng, Pattinson David, Eisfeld Amie J, Wang Tong, Halfmann Peter J",The New England journal of medicine,2025 12,10.1056/NEJMc2502494,,Correspondence
41337715,Trial of Pegcetacoplan in C3 Glomerulopathy and Immune-Complex MPGN.,"Fakhouri Fadi, Bomback Andrew S, Ariceta Gema, Delmas Yahsou, Dixon Bradley P",The New England journal of medicine,2025 12,10.1056/NEJMoa2501510,"C3 glomerulopathy and primary immune-complex membranoproliferative glomerulonephritis (MPGN) generally result in glomerular C3 deposition and irreversible kidney damage. The efficacy and safety of pegcetacoplan, a C3 and C3b inhibitor, in persons with C3 glomerulopathy or primary immune-complex MPGN are unclear.",Original Article
41297020,Medications for Opioid Use Disorder in County Jails - Outcomes after Release. Reply.,"Friedmann Peter D, Evans Elizabeth A",The New England journal of medicine,2025 11,10.1056/NEJMc2514548,,Correspondence
41297019,Medications for Opioid Use Disorder in County Jails - Outcomes after Release.,"Berk Justin, Rich Josiah",The New England journal of medicine,2025 11,10.1056/NEJMc2514548,,Correspondence
41297018,Cardiac Rehabilitation for Older Patients. Reply.,"Tonet Elisabetta, Campo Gianluca",The New England journal of medicine,2025 11,10.1056/NEJMc2514544,,Correspondence
41297017,Cardiac Rehabilitation for Older Patients.,"Yang Chen Die, Wang Xiao Qun",The New England journal of medicine,2025 11,10.1056/NEJMc2514544,,Correspondence
41297016,Cardiac Rehabilitation for Older Patients.,"Tahir Rehab Bint E, Midhat Syeda, Afzal Rubia",The New England journal of medicine,2025 11,10.1056/NEJMc2514544,,Correspondence
41297015,Low-Dose Aspirin for PI3K-Altered Localized Colorectal Cancer. Reply.,"Martling Anna, Myrberg Ida Hed, Lindberg Johan",The New England journal of medicine,2025 11,10.1056/NEJMc2515071,,Correspondence
41297014,Low-Dose Aspirin for PI3K-Altered Localized Colorectal Cancer.,"Guo Qian, Zhao Yulin, Yin Chengliang",The New England journal of medicine,2025 11,10.1056/NEJMc2515071,,Correspondence
41297013,Osilodrostat for Bilateral Adrenal Hypercortisolism in Primary Aldosteronism.,"Richa Carine, Lacroix Andr&#xe9;, Young Jacques",The New England journal of medicine,2025 11,10.1056/NEJMc2512144,,Correspondence
41297012,Adrenal Aldosterone Synthase Expression Imaging in Primary Aldosteronism.,"&#xc5;rstad Erik, Sander Kerstin, Kurzawinski Tom R, Anderson Cameron, Buhidma Yazead",The New England journal of medicine,2025 12,10.1056/NEJMc2507481,,Correspondence
41297007,Engasertib versus Placebo for Bleeding in Hereditary Hemorrhagic Telangiectasia.,"Al-Samkari Hanny, Hessels Josefien, Riera-Mestre Antoni, Dupuis-Girod Sophie, Van Zele Thibaut",The New England journal of medicine,2025 11,10.1056/NEJMoa2504411,"Hereditary hemorrhagic telangiectasia (HHT) can cause recurrent, severe epistaxis, as well as anemia and reduced quality of life. The disease remains without licensed therapies worldwide.",Original Article
41297006,Daily Mosnodenvir as Dengue Prophylaxis in a Controlled Human Infection Model.,"Durbin Anna P, Van Wesenbeeck Liesbeth, Pierce Kristen K, Herrera-Taracena Guillermo, Ebone Laura",The New England journal of medicine,2025 11,10.1056/NEJMoa2500179,Approximately half the worldwide population is at risk for dengue. No antiviral prophylaxis or treatment options are available.,Correspondence
41269206,Medical Management and Revascularization for Asymptomatic Carotid Stenosis.,"Brott Thomas G, Howard George, Lal Brajesh K, Voeks Jenifer H, Turan Tanya N",The New England journal of medicine,2025 11,10.1056/NEJMoa2508800,"Improvements in medical therapy, carotid-artery stenting, and carotid endarterectomy call into question the preferred management of asymptomatic carotid stenosis. Whether adding revascularization to intensive medical management would provide greater benefit than intensive medical management alone is unclear.",Original Article
41259774,Pathogenesis of Heparin-Induced Thrombocytopenia. Reply.,"Nazy Ishac, Treverton Jared, Arnold Donald M",The New England journal of medicine,2025 11,10.1056/NEJMc2514329,,Correspondence
41259773,Pathogenesis of Heparin-Induced Thrombocytopenia.,"An Zhuo-Yu, Zhang Xiao-Hui",The New England journal of medicine,2025 11,10.1056/NEJMc2514329,,Correspondence
41259772,Pathogenesis of Heparin-Induced Thrombocytopenia.,Cohn Danny M,The New England journal of medicine,2025 11,10.1056/NEJMc2514329,,Correspondence
41259771,Neoadjuvant Nivolumab plus Chemotherapy in Lung Cancer. Reply.,"Forde Patrick M, Provencio Mariano, Girard Nicolas",The New England journal of medicine,2025 11,10.1056/NEJMc2513316,,Correspondence
41259770,Neoadjuvant Nivolumab plus Chemotherapy in Lung Cancer.,"Li Xuesong, Mu Xiangdong",The New England journal of medicine,2025 11,10.1056/NEJMc2513316,,Correspondence
41259769,Cagrilintide-Semaglutide in Adults with Overweight or Obesity. Reply.,"Davies Melanie J, Broholm Christa, Garvey W Timothy",The New England journal of medicine,2025 11,10.1056/NEJMc2513141,,Correspondence
41259768,Cagrilintide-Semaglutide in Adults with Overweight or Obesity. Reply.,"Garvey W Timothy, Osorto Contreras Cynthia Karenina, Davies Melanie J",The New England journal of medicine,2025 11,10.1056/NEJMc2513141,,Correspondence
41259767,Cagrilintide-Semaglutide in Adults with Overweight or Obesity.,"Chi Hao, Yang Hua, Deng Youping",The New England journal of medicine,2025 11,10.1056/NEJMc2513141,,Correspondence
41259766,Cagrilintide-Semaglutide in Adults with Overweight or Obesity.,"Lnu Vivek, Noor Fatima",The New England journal of medicine,2025 11,10.1056/NEJMc2513141,,Correspondence
41259765,Cagrilintide-Semaglutide in Adults with Overweight or Obesity.,"Krakauer Jesse C, Krakauer Nir Y",The New England journal of medicine,2025 11,10.1056/NEJMc2513141,,Correspondence
41259764,Cagrilintide-Semaglutide in Adults with Overweight or Obesity.,"Fogacci Federica, Cicero Arrigo F G",The New England journal of medicine,2025 11,10.1056/NEJMc2513141,,Correspondence
41259756,"Efficacy, Immunogenicity, and Safety of Modified mRNA Influenza Vaccine.","Fitz-Patrick David, McVinnie Donald S, Jackson Lisa A, Crowther Graham, Geevarughese Anita",The New England journal of medicine,2025 11,10.1056/NEJMoa2416779,Influenza remains a major health burden despite the use of licensed vaccines. Nucleoside-modified messenger RNA (modRNA) influenza vaccines have shown promising immunogenicity against influenza and an acceptable safety profile in a phase 1-2 trial.,Correspondence
41259754,A Multicomponent Intervention to Improve Maternal Infection Outcomes.,"Lissauer David, Gadama Luis, Waitt Catriona, Whyte Sonia, Burnside Girvan",The New England journal of medicine,2025 11,10.1056/NEJMoa2512698,"Maternal infection and sepsis are major causes of maternal death and severe illness worldwide, particularly in low- and middle-income countries. Inconsistent implementation of evidence-based recommendations for infection prevention and management and delays in detection and treatment of maternal sepsis contribute to the number of preventable deaths.",Original Article
41223378,Educational Strategies for Clinical Supervision of Artificial Intelligence Use. Reply.,"Abdulnour Raja-Elie E, Gin Brian, Boscardin Christy K",The New England journal of medicine,2025 11,10.1056/NEJMc2513937,,Correspondence
41223377,Educational Strategies for Clinical Supervision of Artificial Intelligence Use.,"Alves Jos&#xe9;, Alves Paulo",The New England journal of medicine,2025 11,10.1056/NEJMc2513937,,Correspondence
41223376,Educational Strategies for Clinical Supervision of Artificial Intelligence Use.,"Firoz Farhat, Srivastava Jyoti, Anwar Firoz",The New England journal of medicine,2025 11,10.1056/NEJMc2513937,,Correspondence
41223375,Educational Strategies for Clinical Supervision of Artificial Intelligence Use.,Yoshida Kazunari,The New England journal of medicine,2025 11,10.1056/NEJMc2513937,,Correspondence
41223374,Adjuvant Cemiplimab in Cutaneous Squamous-Cell Carcinoma. Reply.,"Rischin Danny, Porceddu Sandro, Day Fiona",The New England journal of medicine,2025 11,10.1056/NEJMc2513309,,Correspondence
41223373,Adjuvant Cemiplimab in Cutaneous Squamous-Cell Carcinoma.,"Kim Dahyeon, Babaei Nickoulet, Wu Jashin J",The New England journal of medicine,2025 11,10.1056/NEJMc2513309,,Correspondence
41223372,Acute Normovolemic Hemodilution in Cardiac Surgery. Reply.,"Monaco Fabrizio, Bonizzoni Matteo Aldo, Landoni Giovanni",The New England journal of medicine,2025 11,10.1056/NEJMc2513087,,Correspondence
41223371,Acute Normovolemic Hemodilution in Cardiac Surgery.,Ahmed Andaleeb A,The New England journal of medicine,2025 11,10.1056/NEJMc2513087,,Correspondence
41223370,Acute Normovolemic Hemodilution in Cardiac Surgery.,Tamura Takahiro,The New England journal of medicine,2025 11,10.1056/NEJMc2513087,,Correspondence
41223369,A Mammarenavirus Close to Lassa Virus in a Patient with Meningoencephalitis.,"Baize Sylvain, Pannetier Delphine, Rodriguez Christophe, Josset Laurence, de Laval Franck",The New England journal of medicine,2025 11,10.1056/NEJMc2505127,,Correspondence
41211954,Beta-Blockers after Myocardial Infarction with Normal Ejection Fraction.,"Kristensen Anna Meta Dyrvig, Rossello Xavier, Atar Dan, Yndigegn Troels, Kimura Takeshi",The New England journal of medicine,2025 11,10.1056/NEJMoa2512686,The benefit of beta-blockers after myocardial infarction in patients with a preserved left ventricular ejection fraction (LVEF) is unclear.,Original Article
41211945,Phase 1 Trial of CRISPR-Cas9 Gene Editing Targeting ANGPTL3.,"Laffin Luke J, Nicholls Stephen J, Scott Russell S, Clifton Peter M, Baker John",The New England journal of medicine,2025 11,10.1056/NEJMoa2511778,Angiopoietin-like protein 3 (ANGPTL3) inhibits lipoprotein and endothelial lipases. ANGPTL3 loss-of-function genetic variants are associated with decreased levels of low-density lipoprotein cholesterol and triglycerides and a decreased lifetime risk of atherosclerotic cardiovascular disease.,Original Article
